rel	final_cat	source	evidence
Sources/Nehir/Core/Config/MonitorGapSettings.swift	4	round1+confirmed	R2: origin dacccb8 (Barut, Jun17, NEWER_THAN_BASE ee9b4f0, REACHABLE) has MonitorGapSettings.swift; Nehir extended it with anchor/gapSize -> borrow confirmed
Sources/Nehir/Core/Config/MonitorNiriSettings.swift	3	round1	Sources/OmniWM/Core/Config/MonitorNiriSettings.swift @ ee9b4f0 | Niri option fields swapped (maxVisibleColumns/etc -> balancedColumnCount/loneWindowPolicy).
Sources/Nehir/Core/Config/MonitorOrientationSettings.swift	2	round1	Sources/OmniWM/Core/Config/MonitorOrientationSettings.swift @ ee9b4f0 | Added monitorAnchorPoint field; rest unchanged.
Sources/Nehir/Core/Config/MonitorOverrideFileStore.swift	5	round1+confirmed	R2: origin -S/grep 'MonitorOverrideFileStore','matchAnchorPoint' empty; basename absent -> invented in Nehir
Sources/Nehir/Core/Config/MonitorSettingsType.swift	2	round1	Sources/OmniWM/Core/Config/MonitorSettingsType.swift @ ee9b4f0 | Added monitorAnchorPoint property and reformatted get() signature.
Sources/Nehir/Core/Config/MouseResizeModifierKey.swift	1	round1	Sources/OmniWM/Core/Config/MouseResizeModifierKey.swift @ ee9b4f0 | Diff is only SPDX header plus one blank-line whitespace change.
Sources/Nehir/Core/Config/MouseWarpAxis.swift	1	round1	Sources/OmniWM/Core/Config/MouseWarpAxis.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Config/NehirStoragePaths.swift	1	round1	Sources/OmniWM/Core/Config/OmniWMStoragePaths.swift @ ee9b4f0 | Rename of OmniWMStoragePaths; SPDX plus OmniWM->Nehir/omniwm->nehir tokens.
Sources/Nehir/Core/Config/OnboardingStateStore.swift	5	round1+confirmed	R2: origin -S/grep 'OnboardingStateStore','onboarding-version','hasCompletedOnboarding' empty; basename absent -> invented in Nehir
Sources/Nehir/Core/Config/RuntimeStateStore.swift	3	round1	Sources/OmniWM/Core/Config/RuntimeStateStore.swift @ ee9b4f0 | Removed quake-terminal/updater/hidden-bar state and legacy import; large deletion.
Sources/Nehir/Core/Config/ScrollModifierKey.swift	1	round1	Sources/OmniWM/Core/Config/ScrollModifierKey.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Config/SettingsDiagnosticsIssue.swift	5	round1+confirmed	R2: origin -S/grep 'SettingsDiagnosticsIssue','UnknownSettingsKeysIssue','applicableIssues' empty; basename absent -> invented in Nehir
Sources/Nehir/Core/Config/SettingsExport.swift	3	round1	Sources/OmniWM/Core/Config/SettingsExport.swift @ ee9b4f0 | Field set rewritten: dwindle/clipboard/quake/updater removed, new fields added.
Sources/Nehir/Core/Config/SettingsFilePersistence.swift	3	round1	Sources/OmniWM/Core/Config/SettingsFilePersistence.swift @ ee9b4f0 | Extended with hotkeys/workspaces/apprules/monitors aux files and watchers.
Sources/Nehir/Core/Config/SettingsMigrationRegistry.swift	5	round1+confirmed	R2: origin -S/grep 'SettingsMigrationRegistry','workspacesArrayToKeyedTables','WorkspacesConfigMigration' empty; basename absent -> invented in Nehir
Sources/Nehir/Core/Config/SettingsMigrationStateStore.swift	5	round1+confirmed	R2: origin -S/grep 'SettingsMigrationStateStore','SettingsMigrationPostponeRecord','settings-migration-state.json' empty; basename absent -> invented in Nehir
Sources/Nehir/Core/Config/SettingsStore.swift	3	round1	Sources/OmniWM/Core/Config/SettingsStore.swift @ ee9b4f0 | Heavily rewritten; ~294 add/~389 del, many fields and behaviors changed.
Sources/Nehir/Core/Config/SettingsTOMLCodec.swift	2	round1	Sources/OmniWM/Core/Config/SettingsTOMLCodec.swift @ ee9b4f0 | Removed keyNotFound recovery branch plus OmniWM->Nehir rename.
Sources/Nehir/Core/Config/SettingsTOMLUnknownValue.swift	5	round1+confirmed	R2: origin -S/grep 'SettingsTOMLUnknownValue','SettingsTOMLDynamicKey','decodeUnknownFields' empty; basename absent -> invented in Nehir
Sources/Nehir/Core/Config/WindowCapabilityProfile.swift	1	round1	Sources/OmniWM/Core/Config/WindowCapabilityProfile.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Config/WorkspaceConfig.swift	3	round1	Sources/OmniWM/Core/Config/WorkspaceConfig.swift @ ee9b4f0 | Removed LayoutType enum/field; added FNV stable-UUID generator.
Sources/Nehir/Core/Config/WorkspacesTOMLCodec.swift	5	round1+confirmed	R2: origin -S/grep 'WorkspacesTOMLCodec','containsLegacyWorkspaceArray' empty; basename absent -> invented in Nehir
Sources/NehirApp/NehirApp.swift	1	round1	Sources/OmniWMApp/OmniWMApp.swift @ ee9b4f0 | Rename of OmniWMApp; SPDX plus OmniWM->Nehir import/struct rename.
Sources/NehirApp/SettingsSceneRedirectView.swift	2	round1	Sources/OmniWMApp/SettingsSceneRedirectView.swift @ ee9b4f0 | Renames plus removed updateCoordinator parameter.
Sources/Nehir/Core/Controller/AXEventHandler.swift	2	round1	Sources/OmniWM/Core/Controller/AXEventHandler.swift @ ee9b4f0 | 148/149 upstream methods survive; added window-close focus recovery + managed-admission tracking.
Sources/Nehir/Core/Controller/CommandHandler.swift	3	round1	Sources/OmniWM/Core/Controller/CommandHandler.swift @ ee9b4f0 | Helpers gutted; Dwindle removed; dispatch now delegates to new LayoutCoordinator protocol.
Sources/Nehir/Core/Controller/Direction.swift	1	round1	Sources/OmniWM/Core/Controller/Direction.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Controller/FocusCoordinator.swift	3	round1+reclassified	R2: Method tokens interactiveMoveCancel/clearInteractiveResize/focusedNode hit origin at base; protocol name itself empty -> Nehir abstraction derived from upstream API
Sources/Nehir/Core/Controller/FocusNotifications.swift	2	round1	Sources/OmniWM/Core/Controller/FocusNotifications.swift @ ee9b4f0 | OmniWM->Nehir rename plus confirmedManagedFocusToken and workspace-resolution reordering.
Sources/Nehir/Core/Controller/KeyboardFocusLifecycleCoordinator.swift	2	round1	Sources/OmniWM/Core/Controller/KeyboardFocusLifecycleCoordinator.swift @ ee9b4f0 | Added ConfirmedManagedRequest tracking and rekey/reset handling; rest unchanged.
Sources/Nehir/Core/Controller/LayoutCoordinator.swift	3	round1+reclassified	R2: Method tokens consumeOrExpelWindow/cycleWindowWidth/focusWindowInColumn/expandColumnToAvailableWidth hit origin at base; protocol name empty -> derived abstraction
Sources/Nehir/Core/Controller/LayoutRefreshController.swift	2	round1	Sources/OmniWM/Core/Controller/LayoutRefreshController.swift @ ee9b4f0 | Dwindle/resize-placeholder removed; resize-minimum handling + tracing added; pipeline preserved.
Sources/Nehir/Core/Controller/LayoutTrace.swift	5	round1+confirmed	R2: All distinctive tokens empty in origin: LayoutTrace, NEHIR_LAYOUT_TRACE, layout-trace, com.nehir -> invented in Nehir
Sources/Nehir/Core/Controller/MouseEventHandler.swift	2	round1	Sources/OmniWM/Core/Controller/MouseEventHandler.swift @ ee9b4f0 | 64/66 methods survive; added floating-window/FFM pointer handling, multitouch, tracing.
Sources/Nehir/Core/Controller/MouseWarpHandler.swift	2	round1	Sources/OmniWM/Core/Controller/MouseWarpHandler.swift @ ee9b4f0 | Tap option changed to .defaultTap; extensive traceMouseWarp logging added; core preserved.
Sources/Nehir/Core/Controller/NativeFullscreenPlaceholderManager.swift	1	round1	Sources/OmniWM/Core/Controller/NativeFullscreenPlaceholderManager.swift @ ee9b4f0 | Diff is only SPDX header plus a signature line-wrap.
Sources/Nehir/Core/Controller/NiriLayoutHandler.swift	2	round1	Sources/OmniWM/Core/Controller/NiriLayoutHandler.swift @ ee9b4f0 | Navigation methods migrated in from CommandHandler; centering replaced by scrollViewport; structure preserved.
Sources/Nehir/Core/Controller/RefreshReason.swift	3	round1	Sources/OmniWM/Core/Controller/RefreshReason.swift @ ee9b4f0 | Two switches collapsed to table-driven routing; requestRoute/relayoutSchedulingPolicy API renamed.
Sources/Nehir/Core/Controller/ServiceLifecycleManager.swift	2	round1	Sources/OmniWM/Core/Controller/ServiceLifecycleManager.swift @ ee9b4f0 | Secure-input/dwindle/resize-placeholder removed; requestRefresh rename plus multitouch/onboarding guards.
Sources/Nehir/Core/Controller/WMCommandTarget.swift	5	round1+confirmed	R2: All distinctive tokens empty in origin: WMCommandTarget, confirmedManagedFocus, frontmostManagedFallback, layoutSelection -> invented in Nehir
Sources/Nehir/Core/Controller/WMController.swift	2	round1	Sources/OmniWM/Core/Controller/WMController.swift @ ee9b4f0 | Dwindle/Clipboard/Quake/ResizePlaceholder/HiddenBar removed; debug dumps + managed-command-target added.
Sources/Nehir/Core/Controller/WindowActionHandler.swift	2	round1	Sources/OmniWM/Core/Controller/WindowActionHandler.swift @ ee9b4f0 | Dwindle summon branch/layoutType removed; interactionWorkspace rename + suppressMouseWarp additions.
Sources/Nehir/Core/Controller/WorkspaceNavigationHandler.swift	2	round1	Sources/OmniWM/Core/Controller/WorkspaceNavigationHandler.swift @ ee9b4f0 | OmniWMIPC->NehirIPC; added prepareMovedWindowTargetViewport, reveal relayout, monitor handoff.
Sources/Nehir/Core/Layout/DNode.swift	1	round1	Sources/OmniWM/Core/Layout/DNode.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Layout/LayoutBoundary.swift	2	round1	Sources/OmniWM/Core/Layout/LayoutBoundary.swift @ ee9b4f0 | Removed resizePlaceholder/Dwindle structs and animation case; focus-token fields renamed.
Sources/Nehir/Core/Layout/Niri/DragGhostController.swift	1	round1	Sources/OmniWM/Core/Layout/Niri/DragGhostController.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Layout/Niri/DragGhostWindow.swift	1	round1	Sources/OmniWM/Core/Layout/Niri/DragGhostWindow.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Layout/Niri/InteractiveMove.swift	1	round1	Sources/OmniWM/Core/Layout/Niri/InteractiveMove.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Layout/Niri/InteractiveResize.swift	1	round1	Sources/OmniWM/Core/Layout/Niri/InteractiveResize.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Layout/Niri/NiriConstraintSolver.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriConstraintSolver.swift @ ee9b4f0 | Gap accounting rewritten (count+1 -> count-1, tabbed usable-space change).
Sources/Nehir/Core/Layout/Niri/NiriLayout.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayout.swift @ ee9b4f0 | Single-window path reworked to viewport-geometry; stack-overflow tabbed added; pipeline preserved.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+Animation.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+Animation.swift @ ee9b4f0 | Gap model updated; isEffectivelyTabbed; singleWindowViewportGeometry; animateChangedWindows signature changed.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+ColumnOps.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+ColumnOps.swift @ ee9b4f0 | PureLayout move-decision dispatch + orientation params; resolveProportionalSpan; structure preserved.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+InteractiveMove.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+InteractiveMove.swift @ ee9b4f0 | Removed centerMode/alwaysCenterSingleColumn params from transitionToColumn call.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+InteractiveResize.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+InteractiveResize.swift @ ee9b4f0 | SPDX plus one preservesUnsnappedGestureOffset=false line added.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+Monitors.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+Monitors.swift @ ee9b4f0 | Settings accessors swapped (maxVisibleColumns/etc -> defaultColumnWidth/loneWindowPolicy); workspaceMonitorIndex cache.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+PureLayoutBridge.swift	5	round1+confirmed	R2: All tokens empty in origin: PureLayoutSnapshot, pureLayoutFocusTarget, PureLayoutMoveDecision, pure-layout-bridge -> invented in Nehir
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+Restore.swift	1	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+Restore.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+Sizing.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+Sizing.swift @ ee9b4f0 | Resize tracing helpers added; gap model + snap-context visibility integration; core preserved.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+TabbedMode.swift	3	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+TabbedMode.swift @ ee9b4f0 | toggleColumnTabbed rewritten with overflow branching; stack-overflow split subsystem added.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+ViewportCommands.swift	3	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+ViewportCommands.swift @ ee9b4f0 | centerColumn/centerVisibleColumns replaced by scrollViewport/scrollToReveal snap-context API.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+WindowOps.swift	3	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+WindowOps.swift @ ee9b4f0 | moveWindow reworked to PureLayout-decision-driven flow with snapshot assertions.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+Windows.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+Windows.swift @ ee9b4f0 | Extracted clampColumnWidthToBounds; lone-window override logic; rekeyWindow duplicate handling.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine+WorkspaceOps.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine+WorkspaceOps.swift @ ee9b4f0 | SPDX plus lone-window width-override clearing blocks added.
Sources/Nehir/Core/Layout/Niri/NiriLayoutEngine.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriLayoutEngine.swift @ ee9b4f0 | Config enums swapped (CenterFocusedColumn->RevealPartial, etc.); tracing + workspaceMonitorIndex; engine preserved.
Sources/Nehir/Core/Layout/Niri/NiriMonitor.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriMonitor.swift @ ee9b4f0 | Orientation init changed to honor injected nil instead of autoOrientation fallback.
Sources/Nehir/Core/Layout/Niri/NiriNavigation.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriNavigation.swift @ ee9b4f0 | isEffectivelyTabbed; ensureContainerVisible replaced by scrollToReveal; pureLayoutFocusTarget dispatch.
Sources/Nehir/Core/Layout/Niri/NiriNode.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/NiriNode.swift @ ee9b4f0 | Added resolveProportionalSpan, loneWindowLayoutWidthOverride, isEffectivelyTabbed; renamed relaxed method.
Sources/Nehir/Core/Layout/Niri/NiriOverviewSnapshot.swift	1	round1	Sources/OmniWM/Core/Layout/Niri/NiriOverviewSnapshot.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Layout/Niri/NiriSizeChange.swift	1	round1	Sources/OmniWM/Core/Layout/Niri/NiriSizeChange.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Layout/Niri/SwapTargetOverlay.swift	1	round1	Sources/OmniWM/Core/Layout/Niri/SwapTargetOverlay.swift @ ee9b4f0 | Diff is only the generated SPDX header block.
Sources/Nehir/Core/Layout/Niri/TabbedColumnOverlay.swift	1	round1	Sources/OmniWM/Core/Layout/Niri/TabbedColumnOverlay.swift @ ee9b4f0 | Diff is only SPDX header plus cosmetic line-wrapping.
Sources/Nehir/Core/Layout/Niri/ViewportState+Animation.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/ViewportState+Animation.swift @ ee9b4f0 | Added preservesUnsnappedGestureOffset=false resets across animation entry points.
Sources/Nehir/Core/Layout/Niri/ViewportState+ColumnTransitions.swift	3	round1	Sources/OmniWM/Core/Layout/Niri/ViewportState+ColumnTransitions.swift @ ee9b4f0 | ensureContainerVisible removed; transitionToColumn/shiftViewport reworked to snap-context model.
Sources/Nehir/Core/Layout/Niri/ViewportState+Geometry.swift	3	round1	Sources/OmniWM/Core/Layout/Niri/ViewportState+Geometry.swift @ ee9b4f0 | Snap-point subsystem added; computeVisibleOffset offset-computation entry points replaced.
Sources/Nehir/Core/Layout/Niri/ViewportState+Gestures.swift	3	round1	Sources/OmniWM/Core/Layout/Niri/ViewportState+Gestures.swift @ ee9b4f0 | findSnapPointsAndTarget/correctedGestureTargetOffset removed; snap-context model drives gestures.
Sources/Nehir/Core/Layout/Niri/ViewportState.swift	2	round1	Sources/OmniWM/Core/Layout/Niri/ViewportState.swift @ ee9b4f0 | Added preservesUnsnappedGestureOffset and FFM focus-token/timestamp fields.
Sources/Nehir/Core/Layout/SideHiding.swift	2	round1	Sources/OmniWM/Core/Layout/SideHiding.swift @ ee9b4f0 | Placement resolver reworked to multi-candidate vertical-lane optimization.
Sources/Nehir/Core/Animation/AnimationClock.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Animation/AnimationClock.swift | diff is only SPDX header block
Sources/Nehir/Core/Animation/CubicAnimation.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Animation/CubicAnimation.swift | diff is only SPDX header block
Sources/Nehir/Core/Animation/MotionPolicy.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Animation/MotionPolicy.swift | removed animationsEnabled config; snapshot returns .enabled
Sources/Nehir/Core/Animation/MoveAnimation.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Animation/MoveAnimation.swift | diff is only SPDX header block
Sources/Nehir/Core/Animation/SpringAnimation.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Animation/SpringAnimation.swift | diff is only SPDX header block
Sources/Nehir/Core/Animation/SwipeTracker.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Animation/SwipeTracker.swift | diff is only SPDX header block
Sources/Nehir/Core/AppInfoCache.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/AppInfoCache.swift | diff is only SPDX header block
Sources/Nehir/Core/Ax/AXManager.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Ax/AXManager.swift | original intact; added debug dump/reset/frame-trace methods
Sources/Nehir/Core/Ax/AXTrustedPrompt.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Ax/AXTrustedPrompt.swift | diff is only SPDX header block
Sources/Nehir/Core/Ax/AXWindow.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Ax/AXWindow.swift | original intact; added static role() helper
Sources/Nehir/Core/Ax/AccessibilityPermissionMonitor.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Ax/AccessibilityPermissionMonitor.swift | diff is only SPDX header block
Sources/Nehir/Core/Ax/AppAXContext.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Ax/AppAXContext.swift | original intact; added RawAXNotificationRecorder + thread rename
Sources/Nehir/Core/Ax/AppThreadToken.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Ax/AppThreadToken.swift | diff is only SPDX header block
Sources/Nehir/Core/Ax/DefaultFloatingApps.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Ax/DefaultFloatingApps.swift | diff is only SPDX header block
Sources/Nehir/Core/Ax/RawAXNotificationTrace.swift	5	round1+confirmed	R2: tokens 'RawAXNotificationRecorder','ax notification trace empty' empty on origin/main; upstream has ReconcileTraceRecorder only (mirrored type) -> invented in Nehir
Sources/Nehir/Core/Ax/RunLoopJob.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Ax/RunLoopJob.swift | diff is only SPDX header block
Sources/Nehir/Core/Ax/Thread+RunLoop.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Ax/Thread+RunLoop.swift | diff is only SPDX header block
Sources/Nehir/Core/Ax/ThreadGuardedValue.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Ax/ThreadGuardedValue.swift | diff is only SPDX header block
Sources/Nehir/Core/Border/BorderConfig.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Border/BorderConfig.swift | diff is only SPDX header block
Sources/Nehir/Core/Border/BorderManager.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Border/BorderManager.swift | added disableBorder() that destroys window; wasEnabled guard
Sources/Nehir/Core/Border/BorderWindow.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Border/BorderWindow.swift | diff is only SPDX header block
Sources/Nehir/Core/Border/FocusBorderController.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Border/FocusBorderController.swift | renamed lastAXConfirmedTarget->visualFocusTarget; added test hook
Sources/Nehir/Core/CommandPaletteMode.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/CommandPaletteMode.swift | clipboard->commands enum case (removed Clipboard feature)
Sources/Nehir/Core/Input/ActionCatalog.swift	3	round1	ee9b4f0:Sources/OmniWM/Core/Input/ActionCatalog.swift | 594 changed lines; removed dwindle/clipboard/quake + reorg
Sources/Nehir/Core/Input/DefaultHotkeyBindings.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Input/DefaultHotkeyBindings.swift | diff is only SPDX header block
Sources/Nehir/Core/Input/HotkeyBinding.swift	3	round1	ee9b4f0:Sources/OmniWM/Core/Input/HotkeyBinding.swift | removed hyper/sequence subsystem; 52% of file deleted
Sources/Nehir/Core/Input/HotkeyCommand.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Input/HotkeyCommand.swift | removed LayoutCompatibility/niri cmds; added scrollViewport
Sources/Nehir/Core/Input/Hotkeys.swift	3	round1	ee9b4f0:Sources/OmniWM/Core/Input/Hotkeys.swift | removed sequence/hyper registration; 79% of file deleted
Sources/Nehir/Core/Input/KeySymbolMapper.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Input/KeySymbolMapper.swift | removed usesHyper; renamed hyperModifiers->realHyperModifiers
Sources/Nehir/Core/Input/NiriScrollTracker.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Input/NiriScrollTracker.swift | diff is only SPDX header block
Sources/Nehir/Core/LockScreen/LockScreenObserver.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/LockScreen/LockScreenObserver.swift | diff is only SPDX header block
Sources/Nehir/Core/Menu/MenuAnywhereFetcher.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Menu/MenuAnywhereFetcher.swift | diff is only SPDX header block
Sources/Nehir/Core/Menu/MenuExtractor.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Menu/MenuExtractor.swift | diff is only SPDX header block
Sources/Nehir/Core/Menu/MenuItemModel.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Menu/MenuItemModel.swift | diff is only SPDX header block
Sources/Nehir/Core/Monitor/DisplayConfigurationObserver.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Monitor/DisplayConfigurationObserver.swift | diff is only SPDX header block
Sources/Nehir/Core/Monitor/DisplayEnvironmentDiagnostics.swift	5	round1+confirmed	R2: tokens 'DisplayEnvironmentDiagnostics','horizontalDisplayArrangement','DockEdge','fixedDock' empty on origin/main -> invented in Nehir
Sources/Nehir/Core/Monitor/Monitor.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Monitor/Monitor.swift | diff is only SPDX header block
Sources/Nehir/Core/Monitor/MonitorDescription.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Monitor/MonitorDescription.swift | added ignoreIdentity param threading to resolveMonitor
Sources/Nehir/Core/Monitor/MonitorRestoreAssignments.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Monitor/MonitorRestoreAssignments.swift | added ignoreIdentity position-fallback restore branch
Sources/Nehir/Core/Monitor/OutputId.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Monitor/OutputId.swift | original struct preserved; added anchorPoint restore + custom Hashable
Sources/Nehir/Core/Multitouch/MultitouchBinding.swift	4	round1+confirmed	R2: Created by Barut at 06eb42d (reachable, newer than ee9b4f0); MTRegisterContactFrameCallback/MultitouchBinding present at origin tip; near-identical
Sources/Nehir/Core/Multitouch/MultitouchGestureSource.swift	4	round1+confirmed	R2: Created by Barut at 06eb42d (reachable, newer than ee9b4f0); MultitouchGestureSource + multitouchTouchStride=96 match at origin tip
Sources/Nehir/Core/Overview/OverviewAnimator.swift	1	round1	ee9b4f0:Sources/OmniWM/Core/Overview/OverviewAnimator.swift | diff is only SPDX header block
Sources/Nehir/Core/Overview/OverviewController.swift	2	round1	ee9b4f0:Sources/OmniWM/Core/Overview/OverviewController.swift | removed motion/niri-layout guards; scroll sign flip
